symbol-id;symbol-en;symbol-fi;category
1;A;A;Aakkoset
2;a_-_lower_case;a;Aakkoset
3;above;yläpuolella;Kuvaileva sijainti
4;absent;poissa;Kuvaileva tila
5;acne_spots;akne;Terveys terveydentila
6;acorn;tammenterho;Kasvit ja puut
7;across;yli;Kuvaileva suunta
8;activity_centre;toimintakeskus;Vapaa-aika lelut
9;add;plus;Numerot laskutoimitukset
10;Advent;adventti;Uskonto juhlapäivä
11;Advent_calendar;adventtikalenteri;Uskonto yleiset
12;aerial_indoor;sisäantenni;Tekniikka TV
13;aerobics_dance;aerobic;Urheilu
14;aeroplane;lentokone;Liikenne ilmailu
15;afraid_lady;nainen peloissaan;Ihmiset tunteet
16;afraid_man;mies peloissaan;Ihmiset tunteet
17;after;perässä;Kuvaileva sijainti
18;afternoon;iltapäivä;Kuvaileva aika
19;aftershave;partavesi;Terveys hoitotarvikkeet
20;aftershave_1;partavesi;Terveys hoitotarvikkeet
21;against;vastaan;Kuvaileva sijainti
22;ahead;edessä;Kuvaileva sijainti
23;air_person_1a;lentäjä ;Ihmiset ammatit
24;air_person_1b;lentäjä ;Ihmiset ammatit
25;air_person_2a;Lentäjä ;Ihmiset ammatit
26;air_person_2b;lentäjä ;Ihmiset ammatit
27;air_steward_1a;lentoemäntä ;Ihmiset ammatit
28;air_steward_1b;lentoemäntä ;Ihmiset ammatit
29;air_steward_2a;lentoemäntä ;Ihmiset ammatit
30;air_steward_2b;lentoemäntä ;Ihmiset ammatit
31;airways;hengityskanava;Terveys kehonosat
32;algebra_class;matematiikka;Numerot laskutoimitukset
33;algebra_formula;matematiikan kaava;Numerot laskutoimitukset
34;almond;manteli;Ruoka pähkinät
35;ambulance;ambulanssi;Liikenne tieliikenne
36;angel;enkeli;Uskonto henkilö
37;angry_lady;vihainen nainen;Ihmiset tunteet
38;angry_man;vihainen mies;Ihmiset tunteet
39;ankle;nilkka;Terveys kehonosat
40;answer;vastaus;Numerot laskutoimitukset
41;ant;muurahainen;Eläimet hämähäkit ja hyönteiset
42;ant_eater;muurahaiskarhu;Eläimet nisäkkäät
43;antelope;antilooppi;Eläimet nisäkkäät
44;apple;omena;Ruoka hedelmät
45;apple_juice;omena mehu;Juomat
46;apricot;aprikoosi;Ruoka hedelmät
47;apron;esiliina;Työkalut työpaja
48;aquarium;akvaario;Eläimet elinympäristö
49;arch_lever_file;mappi;Työ ja koulu
50;archery;jousiammunta;Urheilu
51;archery_target;Jousiammunta maali;Urheilu urheiluvälineet
52;arm;käsi;Terveys kehonosat
53;arm_chair;nojatuoli;Rakennukset huonekalut
54;arms;kädet;Terveys kehonosat
55;armwrestle_,_to;kädenvääntö;Vapaa-aika pelit
56;army_tank;panssarivaunu;Sotilaallinen
57;around;ympärillä;Kuvaileva suunta
58;arrow_keys;nuolinäppäimet;Tietotekniikka
59;art;taide;Taide
60;art_class;kuvaamataito;Työ ja koulu
61;art_room;kuvaamataidon luokka;Rakennukset koulu
62;artichoke;artisokka;Ruoka vihannekset ja salaatit
63;artist_palette;paletti;Taide
64;Ash_Wednesday;tuhkakeskiviikko;Uskonto juhlapäivä
65;asparagus;parsa;Ruoka vihannekset ja salaatit
66;assembly;kokous;Työ ja koulu
67;at_key;ät-merkki;Tietotekniikka
68;atom;atomi;Tiede
69;aubergine;munakoiso;Ruoka vihannekset ja salaatit
70;aunt_maternal;täti;Ihmiset suhteet
71;aunt_paternal;täti;Ihmiset suhteet
72;auroscope;otoskooppi;Terveys sairaalatarvikkeet
73;autumn;syksy;Kuvaileva aika
74;avocado;avokado;Ruoka vihannekset ja salaatit
75;awake;hereillä;Kuvaileva tila
76;away;poissa;Kuvaileva suunta
77;B;B;Aakkoset
78;b_-_lower_case;b;Aakkoset
79;baby;vauva;Ihmiset kuvaileva
80;baby_oil;vauvaöljy;Terveys hoitotarvikkeet
81;baby_powder;vauvatalkki;Terveys hoitotarvikkeet
82;back;selkä;Terveys kehonosat
83;back_1;selkä;Terveys kehonosat
84;back_ache;selkäkipu;Terveys terveydentila
85;back_garden;takapiha;Rakennukset puutarha ja maatila
86;backstop;taustaverkko;Urheilu urheiluvälineet
87;backwards;taaksepäin;Kuvaileva suunta
88;bacon;pekoni;Ruoka liha
89;bad;huono;Kuvaileva tila
90;badger;mäyrä;Eläimet nisäkkäät
91;badger_2;mäyrä;Eläimet nisäkkäät
92;badminton;sulkapallo;Urheilu
93;badminton_racket;tennismaila;Urheilu urheiluvälineet
94;bagel;bageli;Ruoka viljatuotteet ja leivonta
95;bagel_2;bageli;Ruoka viljatuotteet ja leivonta
96;bake_,_to;leipoa;Ruoka ruuanlaitto
97;baked_beans;keitetyt pavut;Ruoka vihannekset ja salaatit
98;baked_beans_2;keitetyt pavut;Ruoka vihannekset ja salaatit
99;baker_1a;leipuri ;Ihmiset ammatit
100;baker_1b;leipuri ;Ihmiset ammatit
101;baker_2a;leipuri ;Ihmiset ammatit
102;baker_2b;leipuri ;Ihmiset ammatit
103;baking_powder;leivinjauhe;Ruoka viljatuotteet ja leivonta
104;baking_tray;uunipelti;Ruoka välineet
105;ball;pallo;Vapaa-aika lelut
106;ball_beach;rantapallo;Vapaa-aika lelut
107;ball_pool;pallomeri;Vapaa-aika lelut
108;balloon;ilmapallo;Juhlat välineet
109;banana;banaani;Ruoka hedelmät
110;banana_bunch;banaaniterttu;Ruoka hedelmät
111;bank;pankki;Talous
112;bank_card;luottokortti;Talous
113;banquet_buffet;juhlabuffet;Ruoka annokset
114;bap;voisämpylä;Ruoka viljatuotteet ja leivonta
115;barbeque;grilli;Rakennukset puutarha ja maatila
116;barbeque_,_to;grillata;Ruoka ruuanlaitto
117;base_rock;kallioperä;Tiede
118;baseball_base;pesä;Urheilu urheiluvälineet
119;baseball_bat;pesäpallomaila;Urheilu urheiluvälineet
120;baseball_game;pesäpallo;Urheilu
121;baseball_glove;pesäpalloräpylä;Urheilu urheiluvälineet
122;baseball_player;pesäpalloilija;Urheilu
123;basket;kori;Rakennukset tarvikkeet
124;basket_2;kori;Rakennukset tarvikkeet
125;basketball;koripallo;Urheilu
126;basketball_ball;koripallo;Urheilu urheiluvälineet
127;basketball_game;koripallopeli;Urheilu
128;bat;maila;Eläimet nisäkkäät
129;bath;kylpyamme;Rakennukset tarvikkeet
