symbol-id,symbol,grammar,category-id,category,rated,tags
1,UNE,Letter,1,Alphabet,0,alphabet letter
2,un _-_ lower_case,Noun,1,Alphabet,0,alphabet letter
3,au dessus de,Noun,40,Position descriptive,0,direction position
4,absent,Noun,43,descriptif État,0,
5,acne_spots,Noun,77,Santé Conditions médicales,0,
6,gland,Noun,94,Plantes et les arbres,0,gardening plant
7,à travers,Noun,39,Direction descriptive,0,abstract direction position
8,centre d'activité,Noun,83,Jouets loisirs,0,play toys
9,ajouter,Noun,88,nombre d'activités,0,
10,Avènement,Noun,97,festival de la religion,0,celebration Christian
11,Calendrier de l'Avent,Noun,98,religion générale,0,celebration Christian
12,aerial_indoor,Noun,53,TV électrique,0,
13,aerobics_dance,Noun,103,sport,0,sport
14,avion,Noun,108,Transport aérien,0,transport travel
15,afraid_lady,Noun,91,Les gens sentiments,0,emotion expression face feeling people
16,afraid_man,Noun,91,Les gens sentiments,0,emotion expression face feeling people
17,après,Noun,40,Position descriptive,0,direction position
18,après midi,Noun,44,Temps descriptif,0,calendar diary time
19,après-rasage,Noun,76,articles Santé Toilettage,0,grooming
20,aftershave_1,Noun,76,articles Santé Toilettage,0,grooming
21,contre,Noun,40,Position descriptive,0,abstract position
22,devant,Noun,40,Position descriptive,0,abstract adverb direction position
23,air_person_1a,Noun,92,personnes Profession,0,job people profession work
24,air_person_1b,Noun,92,personnes Profession,0,job people profession work
25,air_person_2a,Noun,92,personnes Profession,0,job people profession work
26,air_person_2b,Noun,92,personnes Profession,0,job people profession work
27,air_steward_1a,Noun,92,personnes Profession,0,job people profession work
28,air_steward_1b,Noun,92,personnes Profession,0,job people profession work
29,air_steward_2a,Noun,92,personnes Profession,0,job people profession work
30,air_steward_2b,Noun,92,personnes Profession,0,job people profession work
31,voies respiratoires,Noun,74,Les parties du corps Santé,0,body
32,algebra_class,Noun,88,nombre d'activités,0,
33,algebra_formula,Noun,88,nombre d'activités,0,
34,amande,Noun,68,noix alimentaires,0,
35,ambulance,Noun,110,Transport routier,0,transport travel vehicle
36,ange,Noun,99,personne religion,0,celebration Christian
37,angry_lady,Noun,91,Les gens sentiments,0,emotion expression face feeling people woman
38,homme faché,Noun,91,Les gens sentiments,0,emotion expression face feeling people
39,la cheville,Noun,74,Les parties du corps Santé,0,body
40,répondre,Noun,88,nombre d'activités,0,
41,fourmi,Noun,13,Araignées et les insectes des animaux,0,insect
42,fourmilier,Noun,10,Mammifère,0,animal mammal wild zoo
