symbol-id,category-id,grammar,rated,tags,symbol-en,category-en,symbol-fr,category-fr
1,1,Letter,0,alphabet letter,A,Alphabet,UNE,Alphabet
2,1,Noun,0,alphabet letter,a_-_lower_case,Alphabet,un _-_ lower_case,Alphabet
3,40,Noun,0,direction position,above,Descriptive Position,au dessus de,Position descriptive
4,43,Noun,0,,absent,Descriptive State,absent,descriptif État
5,77,Noun,0,,acne_spots,Healthcare Medical conditions,acne_spots,Santé Conditions médicales
6,94,Noun,0,gardening plant,acorn,Plants and Trees,gland,Plantes et les arbres
7,39,Noun,0,abstract direction position,across,Descriptive Direction,à travers,Direction descriptive
8,83,Noun,0,play toys,activity_centre,Leisure Toys,centre d'activité,Jouets loisirs
9,88,Noun,0,,add,Number Activity,ajouter,nombre d'activités
10,97,Noun,0,celebration Christian,Advent,Religion Festival,Avènement,festival de la religion
11,98,Noun,0,celebration Christian,Advent_calendar,Religion General,Calendrier de l'Avent,religion générale
12,53,Noun,0,,aerial_indoor,Electrical TV,aerial_indoor,TV électrique
13,103,Noun,0,sport,aerobics_dance,Sport,aerobics_dance,sport
14,108,Noun,0,transport travel,aeroplane,Transport Air,avion,Transport aérien
15,91,Noun,0,emotion expression face feeling people,afraid_lady,People Feelings,afraid_lady,Les gens sentiments
16,91,Noun,0,emotion expression face feeling people,afraid_man,People Feelings,afraid_man,Les gens sentiments
17,40,Noun,0,direction position,after,Descriptive Position,après,Position descriptive
18,44,Noun,0,calendar diary time,afternoon,Descriptive Time,après midi,Temps descriptif
19,76,Noun,0,grooming,aftershave,Healthcare Grooming items,après-rasage,articles Santé Toilettage
20,76,Noun,0,grooming,aftershave_1,Healthcare Grooming items,aftershave_1,articles Santé Toilettage
21,40,Noun,0,abstract position,against,Descriptive Position,contre,Position descriptive
22,40,Noun,0,abstract adverb direction position,ahead,Descriptive Position,devant,Position descriptive
23,92,Noun,0,job people profession work,air_person_1a,People Profession,air_person_1a,personnes Profession
24,92,Noun,0,job people profession work,air_person_1b,People Profession,air_person_1b,personnes Profession
25,92,Noun,0,job people profession work,air_person_2a,People Profession,air_person_2a,personnes Profession
26,92,Noun,0,job people profession work,air_person_2b,People Profession,air_person_2b,personnes Profession
27,92,Noun,0,job people profession work,air_steward_1a,People Profession,air_steward_1a,personnes Profession
28,92,Noun,0,job people profession work,air_steward_1b,People Profession,air_steward_1b,personnes Profession
29,92,Noun,0,job people profession work,air_steward_2a,People Profession,air_steward_2a,personnes Profession
30,92,Noun,0,job people profession work,air_steward_2b,People Profession,air_steward_2b,personnes Profession
31,74,Noun,0,body,airways,Healthcare Body parts,voies respiratoires,Les parties du corps Santé
32,88,Noun,0,,algebra_class,Number Activity,algebra_class,nombre d'activités
33,88,Noun,0,,algebra_formula,Number Activity,algebra_formula,nombre d'activités
34,68,Noun,0,,almond,Food Nuts,amande,noix alimentaires
35,110,Noun,0,transport travel vehicle,ambulance,Transport Road,ambulance,Transport routier
36,99,Noun,0,celebration Christian,angel,Religion Person,ange,personne religion
37,91,Noun,0,emotion expression face feeling people woman,angry_lady,People Feelings,angry_lady,Les gens sentiments
38,91,Noun,0,emotion expression face feeling people,angry_man,People Feelings,homme faché,Les gens sentiments
39,74,Noun,0,body,ankle,Healthcare Body parts,la cheville,Les parties du corps Santé
40,88,Noun,0,,answer,Number Activity,répondre,nombre d'activités
41,13,Noun,0,insect,ant,Animal Spiders and Insects,fourmi,Araignées et les insectes des animaux
42,10,Noun,0,animal mammal wild zoo,ant_eater,Animal Mammal,fourmilier,Mammifère
43,10,Noun,0,animal mammal wild zoo,antelope,Animal Mammal,antilope,Mammifère
44,62,Noun,0,,apple,Food Fruit,Pomme,Fruit alimentaire
45,48,Noun,0,drink juice,apple_juice,Drink Type,jus de pomme,Type de boisson
46,62,Noun,0,food fruit,apricot,Food Fruit,abricot,Fruit alimentaire
47,107,Noun,0,DIY tools workshop,apron,Tools Workshop,tablier,Outillage
48,9,Noun,0,animal,aquarium,Animal Habitat,aquarium,Habitat animal
49,115,Noun,0,class office school stationery,arch_lever_file,Work and School Stationery,arch_lever_file,Travail et de la papeterie scolaire
50,103,Noun,0,games sport,archery,Sport,tir à l'arc,sport
51,104,Noun,0,games sport,archery_target,Sport Accessories,archery_target,Sport Accessoires
52,74,Noun,0,body,arm,Healthcare Body parts,bras,Les parties du corps Santé
53,18,Noun,0,,arm_chair,Building Furniture,fauteuil,Meubles de construction
54,74,Noun,0,body,arms,Healthcare Body parts,bras,Les parties du corps Santé
55,80,Verb,0,,"armwrestle_,_to",Leisure Games,"armwrestle _, _ à",Jeux loisirs
56,84,Noun,0,transport travel vehicle,army_tank,Military,army_tank,Militaire
57,39,Noun,0,direction position,around,Descriptive Direction,autour,Direction descriptive
58,36,Noun,0,,arrow_keys,Computer Icon,Touches directionnelles,Icône d'ordinateur
59,15,Noun,0,class school,art,Art Making,art,Making Art
60,117,Noun,0,class school,art_class,Work and School Timetable,classe d'art plastique,Les travaux et le calendrier scolaire
61,24,Noun,0,class school,art_room,Building School,salle d'art,Établissement scolaire
62,73,Noun,0,,artichoke,Food Vegetables and salads,artichaut,Légumes et salades alimentaires
63,15,Noun,0,,artist_palette,Art Making,artist_palette,Making Art
64,97,Noun,0,celebration Christian,Ash_Wednesday,Religion Festival,Mercredi des Cendres,festival de la religion
65,73,Noun,0,food vegetable,asparagus,Food Vegetables and salads,asperges,Légumes et salades alimentaires
66,117,Noun,0,class school,assembly,Work and School Timetable,Assemblée,Les travaux et le calendrier scolaire
67,36,Noun,0,,at_key,Computer Icon,at_key,Icône d'ordinateur
68,100,Noun,0,,atom,Science,atome,Science
69,73,Noun,0,,aubergine,Food Vegetables and salads,aubergine,Légumes et salades alimentaires
70,93,Noun,0,family relationship relatives,aunt_maternal,People Relationship,aunt_maternal,People Relationship
71,93,Noun,0,family relationship relatives,aunt_paternal,People Relationship,aunt_paternal,People Relationship
72,78,Noun,0,clinic health hospital medical,auroscope,Healthcare Medical items,auroscope,Santé Produits médicaux
73,44,Noun,0,calendar diary season time,autumn,Descriptive Time,l'automne,Temps descriptif
74,73,Noun,0,food vegetable,avocado,Food Vegetables and salads,Avocat,Légumes et salades alimentaires
75,43,Noun,0,,awake,Descriptive State,éveillé,descriptif État
76,39,Noun,0,direction position,away,Descriptive Direction,une façon,Direction descriptive
77,1,Noun,0,alphabet letter,B,Alphabet,B,Alphabet
78,1,Noun,0,alphabet letter,b_-_lower_case,Alphabet,b _-_ lower_case,Alphabet
79,90,Noun,0,grooming,baby,People Descriptive,bébé,personnes descriptif
80,76,Noun,0,,baby_oil,Healthcare Grooming items,huile pour bébé,articles Santé Toilettage
81,76,Noun,0,grooming,baby_powder,Healthcare Grooming items,poudre pour bébé,articles Santé Toilettage
82,74,Noun,0,body,back,Healthcare Body parts,retour,Les parties du corps Santé
83,74,Noun,0,body,back_1,Healthcare Body parts,back_1,Les parties du corps Santé
84,77,Noun,0,clinic health hospital medical,back_ache,Healthcare Medical conditions,mal au dos,Santé Conditions médicales
85,19,Noun,0,animal gardening,back_garden,Building Garden and farm,jardin à l'arrière,Jardin Construction et ferme
86,104,Noun,0,,backstop,Sport Accessories,filet de sécurité,Sport Accessoires
87,39,Noun,0,direction position,backwards,Descriptive Direction,en arrière,Direction descriptive
88,67,Noun,0,food meat pork,bacon,Food Meat,Bacon,viande alimentaire
89,43,Noun,0,,bad,Descriptive State,mal,descriptif État
90,10,Noun,0,animal wild,badger,Animal Mammal,blaireau,Mammifère
91,10,Noun,0,animal wild,badger_2,Animal Mammal,badger_2,Mammifère
92,103,Noun,0,games sport,badminton,Sport,badminton,sport
93,104,Noun,0,games sport,badminton_racket,Sport Accessories,raquette de badminton,Sport Accessoires
94,55,Noun,0,,bagel,Food Breads and baking,beignet,Et la cuisson des aliments Breads
95,55,Noun,0,,bagel_2,Food Breads and baking,bagel_2,Et la cuisson des aliments Breads
96,64,Verb,0,cooking,"bake_,_to",Food Kitchen actions,"cuire au four _, _ à",Nourriture actions cuisine
97,73,Noun,0,,baked_beans,Food Vegetables and salads,baked_beans,Légumes et salades alimentaires
98,73,Noun,0,,baked_beans_2,Food Vegetables and salads,baked_beans_2,Légumes et salades alimentaires
99,92,Noun,0,job people profession work,baker_1a,People Profession,baker_1a,personnes Profession
100,92,Noun,0,job people profession work,baker_1b,People Profession,baker_1b,personnes Profession
101,92,Noun,0,job people profession work,baker_2a,People Profession,baker_2a,personnes Profession
102,92,Noun,0,job people profession work,baker_2b,People Profession,baker_2b,personnes Profession
103,55,Noun,0,,baking_powder,Food Breads and baking,levure,Et la cuisson des aliments Breads
104,65,Noun,0,cooking kitchen,baking_tray,Food Kitchen items,plaque de cuisson,Cuillères de cuisine articles
105,83,Noun,0,play toys,ball,Leisure Toys,Balle,Jouets loisirs
106,83,Noun,0,,ball_beach,Leisure Toys,ball_beach,Jouets loisirs
107,83,Noun,0,,ball_pool,Leisure Toys,piscine à balles,Jouets loisirs
108,28,Noun,0,celebration,balloon,Celebration Item,ballon,célébration article
109,62,Noun,0,food fruit,banana,Food Fruit,banane,Fruit alimentaire
110,62,Noun,0,,banana_bunch,Food Fruit,banana_bunch,Fruit alimentaire
111,85,Noun,0,finance money,bank,Money,banque,Argent
112,85,Noun,0,finance money,bank_card,Money,carte bancaire,Argent
