symbol,grammar,category,rated,tags
A,Letter,Alphabet,0,alphabet letter
a_-_lower_case,Noun,Alphabet,0,alphabet letter
above,Noun,Descriptive Position,0,direction position
absent,Noun,Descriptive State,0,
acne_spots,Noun,Healthcare Medical conditions,0,
acorn,Noun,Plants and Trees,0,gardening plant
across,Noun,Descriptive Direction,0,abstract direction position
activity_centre,Noun,Leisure Toys,0,play toys
Advent,Noun,Religion Festival,0,celebration Christian
Advent_calendar,Noun,Religion General,0,celebration Christian
aerial_indoor,Noun,Electrical TV,0,
aerobics_dance,Noun,Sport,0,sport
aeroplane,Noun,Transport Air,0,transport travel
afraid_lady,Noun,People Feelings,0,emotion expression face feeling people
afraid_man,Noun,People Feelings,0,emotion expression face feeling people
after,Noun,Descriptive Position,0,direction position
afternoon,Noun,Descriptive Time,0,calendar diary time
aftershave,Noun,Healthcare Grooming items,0,grooming
aftershave_1,Noun,Healthcare Grooming items,0,grooming
against,Noun,Descriptive Position,0,abstract position
ahead,Noun,Descriptive Position,0,abstract adverb direction position
air_person_1a,Noun,People Profession,0,job people profession work
air_person_1b,Noun,People Profession,0,job people profession work
air_person_2a,Noun,People Profession,0,job people profession work
air_person_2b,Noun,People Profession,0,job people profession work
air_steward_1a,Noun,People Profession,0,job people profession work
air_steward_1b,Noun,People Profession,0,job people profession work
air_steward_2a,Noun,People Profession,0,job people profession work
air_steward_2b,Noun,People Profession,0,job people profession work
airways,Noun,Healthcare Body parts,0,body
,,Work and School Timetable,0,
,,Number Activity,0,
almond,Noun,Food Nuts,0,
ambulance,Noun,Transport Road,0,transport travel vehicle
angel,Noun,Religion Person,0,celebration Christian
angry_lady,Noun,People Feelings,0,emotion expression face feeling people woman
angry_man,Noun,People Feelings,0,emotion expression face feeling people
ankle,Noun,Healthcare Body parts,0,body
ant,Noun,Animal Spiders and Insects,0,insect
ant_eater,Noun,Animal Mammal,0,animal mammal wild zoo
antelope,Noun,Animal Mammal,0,animal mammal wild zoo
apple,Noun,Food Fruit,0,
apple_juice,Noun,Drink Type,0,drink juice
apricot,Noun,Food Fruit,0,food fruit
apron,Noun,Tools Workshop,0,DIY tools workshop
aquarium,Noun,Animal Habitat,0,animal
arch_lever_file,Noun,Work and School Stationery,0,class office school stationery
archery,Noun,Sport,0,games sport
archery_target,Noun,Sport Accessories,0,games sport
arm,Noun,Healthcare Body parts,0,body
arm_chair,Noun,Building Furniture,0,
arms,Noun,Healthcare Body parts,0,body
"armwrestle_,_to",Verb,Leisure Games,0,
army_tank,Noun,Military,0,transport travel vehicle
around,Noun,Descriptive Direction,0,direction position
arrow_keys,Noun,Computer Icon,0,
art,Noun,Art Making,0,class school
art_class,Noun,Work and School Timetable,0,class school
art_room,Noun,Building School,0,class school
artichoke,Noun,Food Vegetables and salads,0,
Ash_Wednesday,Noun,Religion Festival,0,celebration Christian
asparagus,Noun,Food Vegetables and salads,0,food vegetable
assembly,Noun,Work and School Timetable,0,class school
at_key,Noun,Computer Icon,0,
atom,Noun,Science,0,
aubergine,Noun,Food Vegetables and salads,0,
aunt_maternal,Noun,People Relationship,0,family relationship relatives
aunt_paternal,Noun,People Relationship,0,family relationship relatives
auroscope,Noun,Healthcare Medical items,0,clinic health hospital medical
autumn,Noun,Descriptive Time,0,calendar diary season time
avocado,Noun,Food Vegetables and salads,0,food vegetable
awake,Noun,Descriptive State,0,
away,Noun,Descriptive Direction,0,direction position
B,Noun,Alphabet,0,alphabet letter
b_-_lower_case,Noun,Alphabet,0,alphabet letter
baby,Noun,People Descriptive,0,grooming
baby_oil,Noun,Healthcare Grooming items,0,
baby_powder,Noun,Healthcare Grooming items,0,grooming
back,Noun,Healthcare Body parts,0,body
back_1,Noun,Healthcare Body parts,0,body
back_ache,Noun,Healthcare Medical conditions,0,clinic health hospital medical
back_garden,Noun,Building Garden and farm,0,animal gardening
